,collection,brand,item,price_without_discount,discount,clean_price,maltiply
1302,,Valentino,floral-appliqué shift dress,3326.0,0.0,3326.0,1.0
1303,Conscious,GANNI,seersucker check ruched dress,217.0,25.0,163.0,0.75
1304,,Philipp Plein,Duchesse pineapple skies-print mini dress,3337.0,40.0,2002.0,0.6
1305,,Emilio Pucci,Africana-print shift dress,1110.0,40.0,666.0,0.6
1306,New Season,Saint Laurent,open-back crepe dress,2373.0,0.0,2373.0,1.0
1307,,LIU JO,panelled cap-sleeve T-shirt dress,148.0,10.0,133.0,0.9
1308,New Season,Dsquared2,logo-print hooded sweatshirt dress,372.0,0.0,372.0,1.0
1309,,b+ab,accent-button jersey-knit dress,257.0,65.0,90.0,0.35
1310,,Blanca Vita,tiered short-sleeve dress,398.0,35.0,259.0,0.65
1311,,PINKO,button detail striped dress,316.0,45.0,174.0,0.55
1312,New Season,Balmain,logo-button ribbed mini dress,1691.0,0.0,1691.0,1.0
1313,Conscious,GANNI,balloon-sleeve jacquard mini dress,287.0,40.0,172.0,0.6
1314,Conscious,ZIMMERMANN,floral-appliqué dress,1317.0,0.0,1317.0,1.0
1315,New Season,GAUGE81,strapless slit-detail dress,620.0,0.0,620.0,1.0
1316,,JW Anderson,striped one-shoulder mini dress,608.0,20.0,486.0,0.8
1317,,Semicouture,Agathe tiered short dress,265.0,40.0,159.0,0.6
1318,New Season,PINKO,puff-sleeved mini dress,388.0,0.0,388.0,1.0
1319,,Versace,Barocco Goddess Safety Pin mini dress,3526.0,50.0,1763.0,0.5
1320,,Alexander McQueen,zip-detail mini dress,1872.0,40.0,1123.0,0.6
1321,,Charo Ruiz Ibiza,lace-trim maxi dress,741.0,20.0,593.0,0.8
1322,New Season,Isabel Marant Étoile,Sichelle cotton dress,498.0,0.0,498.0,1.0
1323,,Dolce & Gabbana,floral-print gathered dress,3004.0,0.0,3004.0,1.0
1324,,ETRO,Ornamental-Paisley print tunic dress,1639.0,0.0,1639.0,1.0
1325,,P.A.R.O.S.H.,V-neck pleated maxi dress,554.0,20.0,443.0,0.8
1326,,CHOCOOLATE,striped polo-collar dress,84.0,30.0,59.0,0.7
1327,,Philosophy Di Lorenzo Serafini,mixed-print silk dress,671.0,10.0,604.0,0.9
1328,,La DoubleJ,Artemis shift dress,941.0,0.0,941.0,1.0
1329,,TWINSET,sleeveless tiered dress,249.0,35.0,157.0,0.65
1330,,LIU JO,logo-print T-shirt dress,84.0,35.0,54.0,0.65
1331,,Woolrich,tie-waist cotton dress,177.0,35.0,113.0,0.65
1332,,Michael Michael Kors,logo jacquard knitted mini dress,249.0,30.0,174.0,0.7
1333,,Bottega Veneta,one-shoulder midi dress,1772.0,0.0,1772.0,1.0
